date,current_account
1/1/47,9.405
4/1/47,9.873
7/1/47,10.081
10/1/47,7.797
1/1/48,4.916
4/1/48,3.024
7/1/48,0.932
10/1/48,0.796
1/1/49,2.192
4/1/49,1.708
7/1/49,0.648
10/1/49,-1.032
1/1/50,-0.957
4/1/50,-1.245
7/1/50,-2.681
10/1/50,-2.489
1/1/51,-1.71
4/1/51,0.35
7/1/51,2.19
10/1/51,2.678
1/1/52,3.522
4/1/52,1.126
7/1/52,-1.054
10/1/52,-1.234
1/1/53,-1.347
4/1/53,-1.827
7/1/53,-1.179
10/1/53,-0.931
1/1/54,-0.488
4/1/54,0.336
7/1/54,-0.076
10/1/54,0.908
1/1/55,0.483
4/1/55,-0.229
7/1/55,0.807
10/1/55,0.427
1/1/56,0.943
4/1/56,2.231
7/1/56,3.023
10/1/56,4.531
1/1/57,5.556
4/1/57,4.806
7/1/57,4.914
10/1/57,3.594
1/1/58,1.477
4/1/58,0.821
7/1/58,1.049
10/1/58,-0.143
1/1/59,-1.41
4/1/59,-2.888
7/1/59,0.033
10/1/59,-0.823
1/1/60,1.865
4/1/60,1.723
7/1/60,4.214
10/1/60,4.884
1/1/61,5.438
4/1/61,3.211
7/1/61,4.303
10/1/61,3.901
1/1/62,3.111
4/1/62,3.745
7/1/62,4.773
10/1/62,3.567
1/1/63,3.971
4/1/63,4.343
7/1/63,5.221
10/1/63,6.252
1/1/64,8.191
4/1/64,5.976
7/1/64,8.13
10/1/64,7.573
1/1/65,5.659
4/1/65,6.269
7/1/65,6.57
10/1/65,6.133
1/1/66,4.633
4/1/66,3.316
7/1/66,3.202
10/1/66,4.084
1/1/67,4.262
4/1/67,3.255
7/1/67,3.583
10/1/67,2.832
1/1/68,1.611
4/1/68,2.025
7/1/68,1.834
10/1/68,0.66
1/1/69,1.673
4/1/69,0.505
7/1/69,1.707
10/1/69,2.53
1/1/70,3.909
4/1/70,5.048
7/1/70,3.736
10/1/70,2.201
1/1/71,4.488
4/1/71,-0.138
7/1/71,-0.02
10/1/71,-3.084
1/1/72,-5.031
4/1/72,-4.754
7/1/72,-3.599
10/1/72,-2.782
1/1/73,2.206
4/1/73,5.408
7/1/73,12.474
10/1/73,15.358
1/1/74,16.517
4/1/74,2.663
7/1/74,0.309
10/1/74,4.392
1/1/75,17.889
4/1/75,21.454
7/1/75,18.389
10/1/75,21.623
1/1/76,13.152
4/1/76,8.993
7/1/76,2.406
10/1/76,3.826
1/1/77,-8.022
4/1/77,-8.843
7/1/77,-7.858
10/1/77,-18.933
1/1/78,-25.008
4/1/78,-12.855
7/1/78,-11.386
10/1/78,-1.261
1/1/79,-1.811
4/1/79,-2.698
7/1/79,2.433
10/1/79,-2.588
1/1/80,-10.666
4/1/80,9.844
7/1/80,28.157
10/1/80,6.708
1/1/81,1.667
4/1/81,0.172
7/1/81,7.072
10/1/81,4.594
1/1/82,0.651
4/1/82,17.439
7/1/82,-14.036
10/1/82,-17.253
1/1/83,-7.895
4/1/83,-27.636
7/1/83,-47.909
10/1/83,-56.77
1/1/84,-78.536
4/1/84,-87.926
7/1/84,-90.438
10/1/84,-103.42
1/1/85,-89.411
4/1/85,-111.361
7/1/85,-121.276
10/1/85,-135.167
1/1/86,-128.325
4/1/86,-141.861
7/1/86,-150.22
10/1/86,-150.297
1/1/87,-150.94
4/1/87,-154.383
7/1/87,-154.051
10/1/87,-157.008
1/1/88,-126.867
4/1/88,-109.956
7/1/88,-106.456
10/1/88,-119.615
1/1/89,-106.691
4/1/89,-93.574
7/1/89,-81.654
10/1/89,-87.481
1/1/90,-90.042
4/1/90,-72.863
7/1/90,-82.377
10/1/90,-54.312
1/1/91,46.58
4/1/91,14.773
7/1/91,-13.028
10/1/91,-16.791
1/1/92,-21.789
4/1/92,-39.39
7/1/92,-52.699
10/1/92,-68.42
1/1/93,-57.319
4/1/93,-74.494
7/1/93,-77.413
10/1/93,-108.25
1/1/94,-92.966
4/1/94,-109.201
7/1/94,-121.699
10/1/94,-138.529
1/1/95,-119.222
4/1/95,-119.382
7/1/95,-99.788
10/1/95,-85.052
1/1/96,-102.927
4/1/96,-109.341
7/1/96,-133.525
10/1/96,-114.294
1/1/97,-131.958
4/1/97,-101.889
7/1/97,-122.776
10/1/97,-163.759
1/1/98,-164.859
4/1/98,-196.077
7/1/98,-224.624
10/1/98,-235.778
1/1/99,-234.237
4/1/99,-262.217
7/1/99,-293.375
10/1/99,-316.669
1/1/00,-370.518
4/1/00,-379.498
7/1/00,-416.788
10/1/00,-420.67
1/1/01,-423.661
4/1/01,-379.083
7/1/01,-412.134
10/1/01,-350.783
1/1/02,-404.443
4/1/02,-456.414
7/1/02,-461.697
10/1/02,-499.21
1/1/03,-546.387
4/1/03,-526.038
7/1/03,-526.651
10/1/03,-511.463
1/1/04,-548.939
4/1/04,-624.508
7/1/04,-649.299
10/1/04,-728.322
1/1/05,-688.747
4/1/05,-722.181
7/1/05,-754.677
10/1/05,-839.101
1/1/06,-801.755
4/1/06,-828.77
7/1/06,-875.813
10/1/06,-770.888
1/1/07,-805.547
4/1/07,-778.679
7/1/07,-708.957
10/1/07,-670.257
1/1/08,-735.552
4/1/08,-731.276
7/1/08,-719.025
10/1/08,-631.079
1/1/09,-403.189
4/1/09,-354.508
7/1/09,-366.635
10/1/09,-408.097
1/1/10,-421.555
4/1/10,-444.135
7/1/10,-472.695
10/1/10,-420.758
1/1/11,-476.625
4/1/11,-477.942
7/1/11,-436.398
10/1/11,-450.378
1/1/12,-467.192
4/1/12,-445.678
7/1/12,-397.877
10/1/12,-384.999
1/1/13,-381.99
4/1/13,-377.632
7/1/13,-353.295
10/1/13,-295.351
1/1/14,-372.77
4/1/14,-346.293
7/1/14,-357.057
10/1/14,-428.549
1/1/15,-419.194
4/1/15,-404.477
7/1/15,-458.863
10/1/15,-416.232
1/1/16,-430.196
4/1/16,-398.88
7/1/16,-396.036
10/1/16,-389.564
1/1/17,-358.693
4/1/17,-428.504
7/1/17,-336.611
10/1/17,-361.795
1/1/18,-394.364
4/1/18,-377.403
7/1/18,-481.972
10/1/18,-510.927
1/1/19,-477.125
4/1/19,-478.058
7/1/19,-444.334
10/1/19,-411.013
1/1/20,-421.815
4/1/20,-524.701
7/1/20,-664.951
10/1/20,-758.347
1/1/21,-778.735
4/1/21,-844.127
7/1/21,-915.004
10/1/21,-907.626
1/1/22,-1109.508
4/1/22,-1020.505
7/1/22,-961.651